Security,/CUSIP/958102AK1@BMRK,/CUSIP/958102AK1@BMRK,/CUSIP/013093AA@BMRK,/CUSIP/013093AA@BMRK
Field,PX_BID,PX_ASK,PX_BID,PX_ASK
Date,,,,
2017-03-31,117.775,118.291,102.317,102.711
