,2/17/2017,035240AG,US035240AG57,ANBI,ABI,4.9,1/15/2042,1,ICON,BEVG,"1,753.68","1,917.54",24.9014,0.4813,108.8625,4.3627,4.3627,14.6418,15.0102,14.6418,133.8393,134,143.0824,2.969,3.1056,-0.3221,0.2387,0,-0.0834
,2/17/2017,035242AA,US035242AA44,ANBI,ABI,2.6,1/17/2023,1,ICON,BEVG,"1,470.88","1,449.35",5.9068,0.2406,98.2955,2.9411,2.9411,5.4147,5.4754,5.4147,84.5913,85,85.2765,0.3338,0.34,0.0311,0.1408,0,0.172
,2/17/2017,03524BAE,US03524BAE65,ANBI,ABI,3.7,2/1/2024,1,ICON,BEVG,"1,647.39","1,701.39",6.9479,0.1953,103.0831,3.2013,3.2013,6.0946,6.1708,6.0946,97.2557,97,99.318,0.4294,0.4385,0.1017,0.1869,0.0006,0.2885
,2/17/2017,037411AR,US037411AR61,APA,APA,6,1/15/2037,0.33,IEGY,SOGP,"1,176.70","1,364.41",19.9014,0.5833,115.3684,4.7929,4.7929,12.1063,12.3012,12.1063,198.5683,199,208.0068,1.9985,2.0576,-0.6449,0.2721,0,-0.3728
,2/17/2017,037833AK,US037833AK68,AAPL,AAPL,2.4,5/3/2023,2.67,IMAN,TRON,"6,471.88","6,400.03",6.1973,0.7133,98.1766,2.7211,2.7211,5.6773,5.7463,5.6773,57.8449,58,58.2229,0.3668,0.374,0.3772,0.1287,0,0.5059
,2/17/2017,037833AL,US037833AL42,AAPL,AAPL,3.8,5/4/2043,2.67,IMAN,TRON,"3,530.11","3,400.39",26.2,1.1336,95.1917,4.1525,4.1525,15.9469,16.3972,15.9469,112.0944,112,117.397,3.4809,3.6595,0.4685,0.2124,0,0.6809
,2/17/2017,037833AS,US037833AS94,AAPL,AAPL,3.4,5/6/2024,2.67,IMAN,TRON,"2,941.76","3,063.74",7.2055,0.9967,103.1497,2.9612,2.9612,6.3059,6.3882,6.3059,70.554,71,72.2797,0.4611,0.4709,0.428,0.1759,0,0.6039
,2/17/2017,037833AT,US037833AT77,AAPL,AAPL,4.4,5/6/2044,2.67,IMAN,TRON,"1,176.70","1,230.94",27.2055,1.2856,103.3234,4.2426,4.2426,15.6971,16.0792,15.6971,120.5196,121,127.8108,3.4602,3.6182,0.4519,0.226,0,0.6779
,2/17/2017,037833AZ,US037833AZ38,AAPL,AAPL,2.5,2/9/2025,2.67,IMAN,TRON,"1,765.06","1,696.93",7.9699,0.0764,96.0641,3.0602,3.0602,7.1426,7.2532,7.1426,71.2215,71,71.5863,0.577,0.5919,0.5265,0.1366,0.0003,0.6631
,2/17/2017,037833BA,US037833BA77,AAPL,AAPL,3.4,2/9/2045,2.67,IMAN,TRON,"2,353.41","2,116.27",27.9699,0.1054,89.818,4.0625,4.0625,17.1913,17.6776,17.1913,101.9947,102,105.7398,4.0067,4.2154,2.8934,0.2052,0.0004,3.0986
,2/17/2017,037833BG,US037833BG48,AAPL,AAPL,3.2,5/13/2025,2.67,IMAN,TRON,"2,353.41","2,395.59",8.2247,0.8622,100.93,3.0708,3.0708,7.1358,7.2458,7.1358,69.5869,70,71.0488,0.5886,0.6038,0.6467,0.1673,0,0.814
,2/17/2017,037833BH,US037833BH21,AAPL,AAPL,4.3,5/13/2045,2.67,IMAN,TRON,"2,353.41","2,435.93",28.2247,1.1788,102.3278,4.2326,4.2326,16.0873,16.4657,16.0873,118.9238,119,125.9208,3.6548,3.8183,1.6006,0.2272,0,1.8277
,2/17/2017,046353AD,US046353AD01,AZN,AZN,6.4,9/15/2037,1,ISRV,PHRM,"3,235.94","4,265.54",20.5671,2.7771,129.0406,4.3071,4.3071,12.2355,12.448,12.2355,146.3326,146,156.4133,2.0765,2.1423,-0.4681,0.2577,0,-0.2104
,2/17/2017,046353AG,US046353AG32,AZN,AZN,4,9/18/2042,1,ISRV,PHRM,"1,176.70","1,142.70",25.5753,1.6889,95.4212,4.2966,4.2966,15.3913,15.8226,15.3913,126.7758,127,132.9398,3.2711,3.437,-0.6908,0.2164,0,-0.4744
,2/17/2017,046353AL,US046353AL27,AZN,AZN,3.3,11/16/2025,1,ISRV,PHRM,"2,353.41","2,367.76",8.737,0.8813,99.7286,3.4107,3.4107,7.4461,7.5603,7.4461,100.6001,101,102.4001,0.6452,0.662,0.7572,0.1787,0,0.9359
,2/17/2017,046353AM,US046353AM00,AZN,AZN,4.3,11/16/2045,1,ISRV,PHRM,"1,176.70","1,195.52",28.737,1.1424,100.4565,4.3467,4.3467,16.1173,16.4748,16.1173,130.4151,130,137.6497,3.6985,3.8567,0.2375,0.2283,0,0.4658
,2/17/2017,04650NAB,US04650NAB01,T,T,5.3,9/1/2040,0.67,UTEL,DIVT,"2,105.48","2,174.49",23.5288,2.5115,100.7663,5.2925,5.2925,13.0134,13.2988,13.0134,229.0124,229,241.582,2.4473,2.5462,-0.5344,0.2727,0,-0.2617
,2/17/2017,054536AA,US054536AA57,AXA,AXAF,8.6,12/15/2030,0.67,FINS,LIFE,"1,470.88","2,040.35",13.8164,1.5528,137.1633,4.872,4.872,8.865,8.9524,8.865,229.9078,230,239.028,1.0508,1.0706,0.1948,0.3289,0,0.5237
,2/17/2017,055451AR,US055451AR98,BHP,BHP,4.1,2/24/2042,1.33,IMAN,METL,"1,176.70","1,196.49",25.0109,2.0167,99.6646,4.1466,4.1466,15.1861,15.6239,15.1861,112.1354,112,118.366,3.1718,3.3356,1.1448,0.217,0,1.3618
,2/17/2017,055451AU,US055451AU28,BHP,BHP,3.8,9/30/2023,1.33,IMAN,METL,"1,765.06","1,890.42",6.6082,1.4972,105.6053,2.9114,2.9114,5.7571,5.8267,5.7571,71.6873,72,73.8624,0.3883,0.396,-0.2874,0.1995,0,-0.0879
,2/17/2017,055451AV,US055451AV01,BHP,BHP,5,9/30/2043,1.33,IMAN,METL,"2,941.76","3,380.52",26.6082,1.9444,112.9705,4.1868,4.1868,15.1194,15.4742,15.1194,115.3153,115,123.9651,3.2364,3.3789,1.1252,0.245,0,1.3703
,2/17/2017,05565QCB,US05565QCB23,BP,BP,2.5,11/6/2022,1,IEGY,OILI,"1,176.70","1,157.48",5.7096,0.7222,97.6438,2.9509,2.9509,5.2366,5.2928,5.2366,89.0281,89,89.5828,0.3135,0.3191,0.0987,0.1344,0,0.2331
,2/17/2017,05565QCD,US05565QCD88,BP,BP,2.7,5/10/2023,1,IEGY,OILI,"1,765.06","1,741.71",6.2164,0.7639,97.9136,3.1211,3.1211,5.624,5.6916,5.624,97.5383,98,98.3877,0.3624,0.3697,-0.692,0.1463,0,-0.5457
,2/17/2017,05565QCP,US05565QCP19,BP,BP,3.8,2/10/2024,1,IEGY,OILI,"1,470.88","1,523.68",6.9726,0.1059,103.484,3.2514,3.2514,6.0987,6.1746,6.0987,102.0182,102,104.2293,0.4305,0.4395,-0.1414,0.1912,0.0003,0.0499
