,CUSIP,Spread_x,Date,Volume,Bid,Ask,Spread_y,Par
764,65409QBB7,0.2852857142857163,2017-04-07,6300.0,102.15,102.416,0.26599999999999113,104.0
771,670001AA4,0.4964999999999999,2017-04-07,1382.0,104.244,104.864,0.6200000000000045,61.0
784,68245XAA7,0.30860000000000126,2017-04-07,9709.0,103.911,104.183,0.27200000000000557,156.0
796,72766QAA3,0.43819999999999765,2017-04-07,326.0,103.203,103.933,0.730000000000004,51.0
808,737446AL8,0.253857142857143,2017-04-07,1890.0,101.146,101.472,0.3259999999999934,84.0
815,74166MAA4,0.32428571428571373,2017-04-07,6000.0,109.504,109.835,0.33099999999998886,119.0
822,74840LAA0,0.29928571428571615,2017-04-07,2850.0,99.433,99.845,0.41199999999999193,56.0
835,761735AP4,0.23414285714285857,2017-04-07,2900.0,102.753,102.971,0.21800000000000352,133.0
842,761735AT6,0.2591428571428541,2017-04-07,4700.0,103.032,103.267,0.23499999999999943,68.0
849,767754CH5,0.3144285714285725,2017-04-07,8375.0,101.285,101.634,0.34900000000000375,66.0
856,78388JAU0,0.24814285714285841,2017-04-07,2300.0,98.578,98.81,0.23199999999999932,50.0
870,78442FES3,0.30628571428571505,2017-04-07,2545.0,102.839,102.962,0.12300000000000466,82.0
877,79970YAD7,0.4700000000000029,2017-04-07,6620.0,93.341,93.717,0.3760000000000048,50.0
891,80874YAU4,0.45499999999999424,2017-04-07,1808.0,106.037,106.44,0.4029999999999916,143.0
898,82967NAS7,0.3855714285714283,2017-04-07,2409.0,106.653,106.984,0.33099999999998886,54.0
905,82967NAW8,0.322571428571434,2017-04-07,3420.0,102.42,102.683,0.26300000000000523,50.0
912,83422AAA1,0.41871428571428737,2017-04-07,3080.0,114.571,114.902,0.33100000000000307,69.0
919,845467AL3,0.5174285714285715,2017-04-07,2220.0,100.166,100.535,0.3689999999999998,50.0
926,84762LAU9,0.4470000000000007,2017-04-07,1368.0,106.443,106.804,0.3610000000000042,50.0
933,85172FAJ8,0.613166666666667,2017-04-07,736.0,109.559,110.101,0.5420000000000016,50.0
939,85207UAF2,0.33142857142857246,2017-04-07,7188.0,111.006,111.327,0.32099999999999795,198.0
953,871503AU2,0.20099999999999948,2017-04-07,1180.0,103.328,103.522,0.19400000000000261,50.0
960,87264AAL9,0.28857142857143003,2017-04-07,7697.0,106.474,106.756,0.2819999999999965,89.0
967,87264AAP0,0.3105714285714275,2017-04-07,6838.0,109.733,110.274,0.5409999999999968,70.0
974,88033GCE8,0.330999999999999,2017-04-07,7021.0,103.493,103.783,0.29000000000000625,182.0
995,893647AX5,0.31885714285714684,2017-04-07,1000.0,102.474,102.775,0.30100000000000193,97.0
1002,893830BE8,0.46528571428571297,2017-04-07,2425.0,107.825,108.235,0.4099999999999966,50.0
1009,896047AH0,0.3227142857142858,2017-04-07,2230.0,104.358,104.653,0.2950000000000017,50.0
1023,911365BF0,0.4804285714285754,2017-04-07,2295.0,101.82,102.436,0.6160000000000139,88.0
1037,914906AS1,0.29440000000000166,2017-04-10,3010.0,98.532,98.833,0.30100000000000193,122.0
1042,91831AAB7,0.37099999999999916,2017-04-07,3740.0,75.086,75.546,0.46000000000000796,239.0
1056,94946TAC0,0.2238571428571439,2017-04-07,354.0,102.904,103.129,0.22500000000000853,59.0
1063,952355AN5,0.20099999999999815,2017-04-10,1000.0,99.022,99.129,0.10699999999999932,50.0
1066,958102AL9,0.4015714285714275,2017-04-07,8050.0,117.545,117.961,0.4159999999999968,144.0
1073,969457BW9,0.3084285714285723,2017-04-07,7102.0,101.47,101.727,0.257000000000005,50.0
1080,983130AV7,0.3154285714285712,2017-04-07,4240.0,102.542,102.784,0.24200000000000443,70.0
1087,983793AD2,0.30185714285714277,2017-04-07,3439.0,105.382,105.649,0.2669999999999959,81.0
1094,989194AM7,0.3897142857142849,2017-04-07,500.0,105.649,106.031,0.382000000000005,50.0
1101,989207AC9,0.38650000000000045,2017-04-07,1160.0,108.179,108.508,0.3289999999999935,50.0
